figure_id,country,title,caption,source,notes
mex_01,Mexico,Outstanding Letters of Credit (Monthly Evolution),"Monthly time series of total outstanding letters of credit issued by Mexican banks in USD millions. Shows volume trends and seasonality from January 2022 to August 2025.",CNBV R12A Balance Sheets,"Data from account 202401504003 (Import L/C ≤180 days). Represents only a subset of total trade finance. Range: USD 272-678 millions. Integrated from SIMPLE script at user request."
mex_02,Mexico,Letters of Credit as % of Total Liabilities,"Letters of credit as percentage of total bank liabilities. Shows the relative importance of L/C in bank balance sheets. Monthly frequency 2022-2025.",CNBV R12A Balance Sheets,"Range: 0.055%-0.123%. Very small share indicates L/C are minor component of Mexican bank funding. Graph recovered after adding total_liab_usd_millions to master processing."
mex_03,Mexico,Letters of Credit by Type of Bank,"Distribution of outstanding L/C across Foreign and Domestic banks. Stacked area chart showing composition over time 2022-2025.",CNBV R12A Balance Sheets,"Domestic banks dominate: 98% of cumulative L/C volume (USD 20.4B total). Foreign banks: 2% (USD 445M). Shows market structure concentration."
mex_04,Mexico,L/C as % of Annual Exports,"Monthly L/C stock as percentage of annual exports. Trade finance intensity metric relative to export activity. Methodology: monthly stock / annual exports × 100.",CNBV R12A + GMD (Global Macroeconomic Database),"Range: 0.043%-0.108%. Extremely low - confirms Mexico's minimal reliance on L/C for exports. Wire transfers and open account terms likely dominate."
mex_05,Mexico,L/C as % of Annual Total Trade,"Monthly L/C stock as percentage of annual total trade (exports + imports). Broader penetration measure. Methodology: monthly stock / annual (X+M) × 100.",CNBV R12A + GMD,"Range: 0.021%-0.052%. Even lower than exports-only ratio. Validates minimal role of L/C in Mexico's overall trade financing landscape."
mex_06,Mexico,L/C by Top 5 Banks (Monthly),"Monthly stacked area showing L/C concentration among top 5 issuing banks. Identifies market leaders and specialization patterns 2022-2025.",CNBV R12A Balance Sheets,"Top 5 banks account for majority of L/C market. Shows high concentration with few institutions dominating import L/C issuance. Comparable to Chile CHL-6."
per_01,Peru,Foreign-Trade Credit as % of Total Credit,"Foreign-trade credit (comercio exterior) as share of total credit portfolio. Shows structural importance of TF in Peruvian banking. Monthly 2010-2024.",SBS (Superintendencia de Banca) Credit Registry,"Range: 3-7% of total credit. Higher during commodity booms (copper prices). Sensitive to global trade shocks and terms-of-trade variations."
per_02,Peru,Foreign-Trade Credit by Type of Bank (Annual),"Annual grouped bars showing TF distribution across Foreign/State/Large Domestic/Consumer-Retail/Other banks. 2010-2024 evolution.",SBS Credit Registry,"Foreign banks show highest TF intensity. State banks (Banco de la Nación) focus on development/social lending. Top foreign banks: BBVA, Scotiabank, Citibank."
per_03,Peru,Foreign-Trade Credit by Type of Bank (Monthly),"Monthly stacked area chart showing TF composition by bank type. Finer temporal granularity than PER-02. Filtered 2022-2024 for clarity.",SBS Credit Registry,"Reveals seasonal patterns (export cycles) and bank type dynamics. Foreign banks maintain consistent ~35-40% market share despite fewer institutions."
per_04,Peru,Foreign-Trade Credit by Top 5 Banks,"Annual grouped bars showing TF concentration among top 5 institutions. Identifies market leaders 2010-2024.",SBS Credit Registry,"High concentration market. Top 5: BBVA, BCP (Banco de Crédito del Perú), Scotiabank, Interbank, Continental. CR5 typically 75-80%."
per_05,Peru,TF as % of Annual Exports,"Monthly TF stock as percentage of annual exports. Primary trade finance intensity metric. Methodology: monthly stock / annual exports × 100.",SBS Credit Registry + GMD,"Range: 5.5%-15.1%. SIGNIFICANTLY higher than Mexico (0.08%). Peru relies heavily on formal banking for export financing (mining/commodities)."
per_06,Peru,TF as % of Annual Total Trade,"Monthly TF stock as percentage of annual total trade (exports + imports). Broader penetration metric including imports.",SBS Credit Registry + GMD,"Range: 2.9%-7.1%. Lower than exports-only but still substantial. Shows Peruvian banks actively finance both import AND export operations."
per_07,Peru,TF by Top 5 Banks (Monthly),"Monthly stacked area showing foreign-trade credit concentration among top 5 institutions. Identifies market leaders 2010-2024.",SBS Credit Registry,"Top 5 banks typically include: BBVA, BCP (Banco de Crédito del Perú), Scotiabank, Interbank, Continental. High concentration market with CR5 ~75-80%. Comparable to Chile CHL-6."
chl_01,Chile,Foreign-Trade Loans as % of Total Loans,"TF loans as share of total loan portfolio. Shows structural importance in Chilean banking. Series 2015-2024 with SBIF→CMF/IFRS9 accounting transition.",CMF (Comisión para el Mercado Financiero) Balance Sheets,"CRITICAL: Accounting change Jan 2022. Series spliced for continuity. Jump in 2022 reflects better account identification (11→29 accounts), not necessarily real growth."
chl_02,Chile,Foreign-Trade Loans by Type of Bank (Monthly),"Monthly stacked area showing TF distribution across Foreign/Domestic/State banks. Shows temporal evolution 2022-2024 (CMF period only for consistency).",CMF Balance Sheets,"Foreign banks (Scotiabank, BBVA, Santander) have high market share despite fewer institutions. Domestic banks: Banco de Chile, BCI, Itaú CorpBanca."
chl_03,Chile,Market Concentration (HHI),"Herfindahl-Hirschman Index tracking market concentration 2015-2024. Values >1800 indicate high concentration. Series adjusted for 2022 accounting change.",CMF Balance Sheets,"HHI range: 1313-1735 = moderate concentration. Top 5 dominate but market less concentrated than Peru (HHI ~2000+). Competitive dynamics preserved across accounting transition."
chl_04,Chile,Interbank Foreign Funding,"Funding from foreign correspondent banks for Chilean trade operations. Shows external financing dependency. Monthly 2022-2024.",CMF Balance Sheets,"Category: interbancario_exterior. Range: USD 98-1,143 millions (~1-2% of total TF). Chile has access to international credit lines. Graph reactivated after temporary disable."
